"filename", "language", "JavaScript", "Markdown", "JSON", "JSON with Comments", "HTML", "XML", "JavaScript JSX", "CSS", "comment", "blank", "total"
"e:\0 - TFC_Wander_Whiskers-FCT\client\src\images\githubIcon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\0 - TFC_Wander_Whiskers-FCT\client\src\images\googleIcon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\0 - TFC_Wander_Whiskers-FCT\client\src\images\logo\1.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\0 - TFC_Wander_Whiskers-FCT\client\src\images\logo\2.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\0 - TFC_Wander_Whiskers-FCT\client\src\images\logo\3.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\0 - TFC_Wander_Whiskers-FCT\client\src\images\logo\4.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\0 - TFC_Wander_Whiskers-FCT\client\src\images\logo\5.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\0 - TFC_Wander_Whiskers-FCT\client\src\images\logo\6.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\0 - TFC_Wander_Whiskers-FCT\client\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 92, 1, 9, 102
"e:\0 - TFC_Wander_Whiskers-FCT\client\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 0, 5, 14
"e:\0 - TFC_Wander_Whiskers-FCT\client\src\pages\CartPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 181, 0, 40, 11, 232
"e:\0 - TFC_Wander_Whiskers-FCT\client\src\pages\ChakraModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 91, 0, 0, 11, 102
"e:\0 - TFC_Wander_Whiskers-FCT\client\src\pages\ChakraTab.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 564, 0, 10, 42, 616
"e:\0 - TFC_Wander_Whiskers-FCT\client\src\pages\CheckoutCancel.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 21, 0, 0, 3, 24
"e:\0 - TFC_Wander_Whiskers-FCT\client\src\pages\CheckoutSuccess.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 111, 0, 3, 12, 126
"e:\0 - TFC_Wander_Whiskers-FCT\client\src\pages\Contact.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 160, 0, 13, 9, 182
"e:\0 - TFC_Wander_Whiskers-FCT\client\src\pages\CookiesPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 51, 0, 0, 3, 54
"e:\0 - TFC_Wander_Whiskers-FCT\client\src\pages\CreatePost.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 324, 0, 48, 26, 398
"e:\0 - TFC_Wander_Whiskers-FCT\client\src\pages\Creator.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 125, 0, 2, 14, 141
"e:\0 - TFC_Wander_Whiskers-FCT\client\src\pages\Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 141, 0, 6, 11, 158
"e:\0 - TFC_Wander_Whiskers-FCT\client\src\pages\DeleteFromCart.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 92, 0, 0, 11, 103
"e:\0 - TFC_Wander_Whiskers-FCT\client\src\pages\DeletePost.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 99, 0, 1, 9, 109
"e:\0 - TFC_Wander_Whiskers-FCT\client\src\pages\DeleteUser.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 96, 0, 0, 10, 106
"e:\0 - TFC_Wander_Whiskers-FCT\client\src\pages\EditPost.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 332, 0, 10, 25, 367
"e:\0 - TFC_Wander_Whiskers-FCT\client\src\pages\Help.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 21
"e:\0 - TFC_Wander_Whiskers-FCT\client\src\pages\Home.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 0, 6, 19
"e:\0 - TFC_Wander_Whiskers-FCT\client\src\pages\LegalPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 49, 0, 0, 3, 52
"e:\0 - TFC_Wander_Whiskers-FCT\client\src\pages\LocationPosts.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 177, 0, 4, 13, 194
"e:\0 - TFC_Wander_Whiskers-FCT\client\src\pages\Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 174, 0, 24, 17, 215
